objectid,title,creator,genre,date,subject,description,filename,filesize,fomat,display_template,rights,rights statement
cnf000,Final Reflection Manuscript,"Miller, Ashley",Creative non-fiction,2023,Autobiography; Childhood; Adolescence;  Mental Illness; Fathers;,The compilation of files with a reflection written for the undergrad course the creative non-fiction pieces were initially written. ,cnf000_draftedcollection_Miller.pdf,143 KB,application/pdf,pdf,Miller-Ashley CC BY-ND,https://creativecommons.org/licenses/by-nd/4.0/
cnf001,"""Candy""","Miller, Ashley",Creative non-fiction,2023,Family; Memories; Grandparents; Homesick,Short story about my family and memories. ,cnf001_Candy_Miller.pdf,42.3 KB,application/pdf,pdf,Miller-Ashley CC BY-ND,https://creativecommons.org/licenses/by-nd/4.0/
cnf002,"""Aliens""","Miller, Ashley",Creative non-fiction,2023,Fathers; Aliens; Belief ,Short story about my dad's obsession with outer space. ,cnf002_Aliens_Miller.pdf,55.6 KB,application/pdf,pdf,Miller-Ashley CC BY-ND,https://creativecommons.org/licenses/by-nd/4.0/
cnf003,"""Bike""","Miller, Ashley",Creative non-fiction,2023,Fathers; Growing up; Lessons,Short story about the my childhood bike crash and how my dad never let me be weak.,cnf003_Bike_Miller.pdf,38.0 KB,application/pdf,pdf,Miller-Ashley CC BY-ND,https://creativecommons.org/licenses/by-nd/4.0/
cnf004,"""Shannonogains""","Miller, Ashley",Creative non-fiction,2023,Fathers; Accidents; ,Short story about my father's accident-prone tendencies. ,cnf004_Shannonogains_Miller.pdf,44.0 KB,application/pdf,pdf,Miller-Ashley CC BY-ND,https://creativecommons.org/licenses/by-nd/4.0/
cnf005,"""Room""","Miller, Ashley",Creative non-fiction,2023,Depression; Loneliess; Homesickness,Short story about depression and frustration.,cnf005_Room_Miller.pdf,47.1 KB,application/pdf,pdf,Miller-Ashley CC BY-ND,https://creativecommons.org/licenses/by-nd/4.0/
cnf006,"""Names""","Miller, Ashley",Creative non-fiction,2023,Family; Names; Introductions,Short story about names and most people's intense distaste for their own.,cnf006_Names_Miller.pdf,52.5 KB,application/pdf,pdf,Miller-Ashley CC BY-ND,https://creativecommons.org/licenses/by-nd/4.0/
cnf007,"""Truck Stop""","Miller, Ashley",Creative non-fiction,2023,Work; Customers; Rudeness; Purpose,Short story about the turmoil of being employed at a small town truck stop. ,cnf007_TruckStop_Miller. pdf,58.6 KB,application/pdf,pdf,Miller-Ashley CC BY-ND,https://creativecommons.org/licenses/by-nd/4.0/
cnf008,"""Welcome""","Miller, Ashley",Creative non-fiction,2023,Fathers; Daughters; Parenthood,Short story about the birth of myself and my place in the world as an accident.,cnf008_Welcome_Miller.pdf,37.5 KB,application/pdf,pdf,Miller-Ashley CC BY-ND,https://creativecommons.org/licenses/by-nd/4.0/
cnf009,"""Grandma Before the Grand""","Miller, Ashley",Creative non-fiction,2023,Grandmothers; Family history; ,Short story about my grandma before she donned the name Grandma. ,cnf009_Grandma_Miller.pdf,57.4 KB,application/pdf,pdf,Miller-Ashley CC BY-ND,https://creativecommons.org/licenses/by-nd/4.0/
fic001,"""Puck""","Miller, Ashley",Fiction_Urban Fantasy,2022,Fairies; Family; Self-worth;,A work-in-progress file of my first urban fantasy novel. It is only the first page because I fear someone stealing my ideas. ,fic001_Puck_Miller.pdf,29.7 KB,application/pdf,pdf,Miller-Ashley CC BY-ND,https://creativecommons.org/licenses/by-nd/4.0/
pic001,My Dad,"Miller, Phyllis",,1989,,I've always said my dad is my only parent...obviously genetics agree.,pic001_Shannony.jpg,4.23 MB,image/jpeg,image,Miller-Ashley CC BY-ND,https://creativecommons.org/licenses/by-nd/4.0/
pic002,Grandma's House,"Miller, Ashley",,2004,,Old photo of my dad and I outside my grandmother's house.,pic002_Grandmas.jpg,2.56 MB,image/jpeg,image,Miller-Ashley CC BY-ND,https://creativecommons.org/licenses/by-nd/4.0/
pic003,Generations Past,"Miller, Ashley",,2019,,One of the only photos of my grandma's ancestors that exists. ,pic003_Usery.jpg,2.97 MB,image/jpeg,image,Miller-Ashley CC BY-ND,https://creativecommons.org/licenses/by-nd/4.0/
pic004,Visual of Room,"Miller, Ashley",,2024,,"Photo of the room I return to in my piece ""Room.""",pic004_Room.jpg,3.08 MB,image/jpeg,image,Miller-Ashley CC BY-ND,https://creativecommons.org/licenses/by-nd/4.0/
